/*********************************************
 * OPL 12.8.0.0 Data
 * Author: ASUS
 * Creation Date: 23 avr. 2021 at 23:05:27
 *********************************************/
NCity = 6;

qte= [
[0,500,1000,300,400,1500],
[1500,0,250,630,360,1140],
[400,510,0,460,320,490],
[300,600,810,0,820,310],
[400,100,420,730,0,970],
[350,1020,260,580,380,0]];

Dist= [
[0,945,605,4667,4749,4394],
[945,0,866,3726,3806,3448],
[605,866,0,4471,4541,4152],
[4667,3726,4471,0,109,415],
[4749,3806,4541,109,0,431],
[4394,3448,4152,415,431,0]
];
